date,high,low,close,previous,diff,numtrans,tradedshares,volume
2024-02-13,346,326,334,340,-6,549,83100,28188649
2024-02-14,339,326,337,334,3,283,24533,8173857.8
2024-02-15,341,326,341,337,4,362,46818,15726840.2
2024-02-18,359,333.5,343.6,341,2.6000000000000227,674,71108,24630024.7
2024-02-20,344.9,333,333.1,343.6,-10.5,325,24114,8136850.8
2024-02-21,342.7,325,331,333.1,-2.1000000000000227,269,22793,7565835.5
2024-02-22,333,313.8,315,331,-16,299,27052,8694967.2
2024-02-25,315.1,301,306,315,-9,256,28710,8848616.8
2024-02-26,324,302,309,306,3,207,20404,6345537.9
2024-02-27,321,305,321,309,12,198,17399,5481460
2024-02-28,320,309,315,321,-6,158,11900,3707645
2024-02-29,313,300,307,315,-8,204,31325,9532320.5
2024-03-03,312,295.2,303.7,307,-3.3000000000000114,105,7554,2277636.6
2024-03-04,327,309,327,303.7,23.30000000000001,9,950,305930
2024-03-05,327,300.7,310,327,-17,225,22344,6973424.8
2024-03-06,317.3,303,317,310,7,196,15797,4894769.8
2024-03-07,320,311,317,317,0,135,11663,3662112.4
2024-03-10,323.3,311,314.2,317,-2.8000000000000114,166,9769,3109025
2024-03-12,325,311,315,314.2,0.8000000000000114,181,14042,4398125.7
2024-03-13,321.3,308.7,316,315,1,142,9157,2874627.3
2024-03-14,318.9,310,312,316,-4,130,7976,2500385.5
2024-03-17,314,307,312.9,312,0.8999999999999773,174,5811,1797688.6
2024-03-18,317,306.3,307.5,312.9,-5.399999999999977,124,5597,1727081.4
2024-03-19,315,304.2,312.8,307.5,5.300000000000011,173,6553,2027620.7
2024-03-20,314.5,306.1,309.9,312.8,-2.900000000000034,155,9860,3043553.6
2024-03-21,315,301.3,305.9,309.9,-4,109,5863,1786889.6
2024-03-25,304,301,301.1,305.9,-4.7999999999999545,101,8867,2679907.6
2024-03-26,314.9,300.5,310,301.1,8.899999999999977,155,9897,3060036
2024-03-27,316,304,311,310,1,162,9568,2983085.2
2024-03-28,320,306,317,311,6,283,19624,6187882.7
2024-03-31,328.8,316.8,323,317,6,426,55249,17892135.4
2024-04-01,331,318.1,328,323,5,341,41848,13685216.3
2024-04-02,330,316,323,328,-5,180,17711,5725607.1
2024-04-03,326.9,312,316,323,-7,186,10065,3194117.3
2024-04-04,329,307,307,316,-9,199,12655,3936791
2024-04-07,317,302.1,315,307,8,178,8188,2546111.8
2024-04-09,324,313.3,319,315,4,207,14063,4479045.5
2024-04-10,325.3,313,314.4,319,-4.600000000000023,200,21148,6736809.6
2024-04-14,329.4,310.1,317.7,314.4,3.3000000000000114,256,31582,10176947.6
2024-04-15,325,314.9,315.2,317.7,-2.5,188,24664,7882414.1
2024-04-16,325,309,318,315.2,2.8000000000000114,234,18465,5860759
2024-04-18,320,312.2,315,318,-3,172,10554,3324623.5
2024-04-21,322,310.2,320,315,5,169,16019,5081135.6
2024-04-22,328,316,319.7,320,-0.30000000000001137,276,29433,9459327.3
2024-04-24,324,314,317,319.7,-2.6999999999999886,101,5175,1645984
2024-04-25,323,313.6,314.3,317,-2.6999999999999886,151,22251,7018455.8
2024-04-28,320.5,310,315,314.3,0.6999999999999886,141,11249,3544924.6
2024-04-29,319,312,314,315,-1,159,17431,5478046.7
2024-04-30,326.6,311,319.6,314,5.600000000000023,211,27603,8740346.5
2024-05-02,325,315.5,320,319.6,0.39999999999997726,159,13559,4346246.5
2024-05-05,322,312.9,318,320,-2,165,10664,3364670.7
2024-05-06,318,310,316,318,-2,145,16000,5028835.7
2024-05-07,320,310.1,313,316,-3,79,5230,1638682.6
2024-05-08,316,310,314,313,1,112,9660,3025289.8
2024-05-09,319,311.2,315,314,1,113,5260,1654356
2024-05-12,319,309,314,315,-1,143,6288,1977667.6
2024-05-13,315,308.1,314.9,314,0.8999999999999773,130,9790,3065683.4
2024-05-14,322.9,310.2,320,314.9,5.100000000000023,184,16179,5176987
2024-05-15,327,317,321.9,320,1.8999999999999773,187,22691,7344789.3
2024-05-16,323,314,322.4,321.9,0.5,171,19591,6216986.3
2024-05-19,323,315.6,320.4,322.4,-2,133,6145,1963128.5
2024-05-20,329,321.1,326,320.4,5.600000000000023,263,28799,9386279.4
2024-05-21,352,330,339,326,13,551,64584,22049632.8
2024-05-22,345,330,333,339,-6,211,22436,7511375.5
2024-05-26,335,321,325,333,-8,200,19227,6299470.9
2024-05-27,330,317.1,323.9,325,-1.1000000000000227,128,7544,2451138
2024-05-29,342,320,324,323.9,0.10000000000002274,189,14466,4738345.5
2024-05-30,341,325,332.6,324,8.600000000000023,349,40774,13683793.6
